Language,R,G,B,Hex
FIRRTL,46,99,47,#2f632f
FLUX,135,203,255,#8cf
Factor,98,103,70,#636746
Fancy,123,156,179,#7b9db4
Fantom,20,37,60,#14253c
Faust,195,113,63,#c37240
Fennel,255,243,215,#fff3d7
Filebench WML,246,185,0,#f6b900
FlatBuffers,237,40,74,#ed284a
Flix,212,73,69,#d44a45
Fluent,255,204,50,#fc3
Forth,52,22,8,#341708
Fortran,77,65,177,#4d41b1
Fortran Free Form,77,65,177,#4d41b1
FreeBASIC,20,26,201,#141ac9
FreeMarker,0,79,178,#0050b2
Frege,0,201,254,#00cafe
Futhark,95,1,30,#5f021f
G-code,207,139,242,#d08cf2
GAML,254,199,102,#ffc766
GAMS,244,154,33,#f49a22
GAP,0,0,204,#00c
GCC Machine Description,255,206,170,#ffcfab
GDScript,53,84,112,#355570
GDShader,70,140,191,#478cbf
GEDCOM,0,48,88,#003058
GLSL,86,134,165,#5686a5
GSC,255,103,0,#ff6800
Game Maker Language,113,180,23,#71b417
Gemfile.lock,112,21,22,#701516
Gemini,255,104,0,#ff6900
Genero 4gl,99,64,142,#63408e
Genero per,215,223,57,#d8df39
Genie,250,133,93,#fb855d
Genshi,149,21,48,#951531
Gentoo Ebuild,147,0,255,#9400ff
Gentoo Eclass,147,0,255,#9400ff
Gerber Image,210,10,0,#d20b00
Gherkin,91,31,99,#5b2063
Git Attributes,244,76,39,#f44d27
Git Commit,244,76,39,#f44d27
Git Config,244,76,39,#f44d27
Git Revision List,244,76,39,#f44d27
Gleam,255,175,243,#ffaff3
Glimmer JS,245,130,95,#f5835f
Glimmer TS,48,120,198,#3178c6
Glyph,193,172,127,#c1ac7f
Gnuplot,240,169,240,#f0a9f0
Go Checksums,0,172,216,#00add8
Go Module,0,172,216,#00add8
Go Template,0,172,216,#00add8
Go Workspace,0,172,216,#00add8
Godot Resource,53,84,112,#355570
Golo,136,86,41,#88562a
Gosu,129,147,127,#82937f
Grace,97,95,139,#615f8b
Gradle,2,48,58,#02303a
Gradle Kotlin DSL,2,48,58,#02303a
Grammatical Framework,255,0,0,#f00
GraphQL,225,0,152,#e10098
Graphviz (DOT),37,149,190,#2596be
Groovy Server Pages,66,152,184,#4298b8
GtkRC,126,230,25,#7fe719
HAProxy,16,108,169,#106da9
HCL,131,79,185,#844fba
HIP,79,57,79,#4f3a4f
HLSL,170,206,96,#aace60
HOCON,159,248,238,#9ff8ee
HTML+ECR,46,16,82,#2e1052
HTML+EEX,109,74,126,#6e4a7e
HTML+ERB,112,21,22,#701516
HTML+PHP,79,93,149,#4f5d95
HTML+Razor,80,42,228,#512be4
HTTP,0,91,156,#005c9c
HXML,246,134,17,#f68712
Hack,135,135,135,#878787
